review_id,review_text,url_review
1,"Всем привет!Стать фотографом - это моя детская мечта.Мне всегда очень нравилось фотографировать. Но к сожалению у меня не было фотоаппарата. Я не знала, что такое глубина резкости, исо, выдержка, диафрагма.И вот однажды я поняла, что мечты должны исполняться.Я купила фотоаппарат. Мой первый фотоаппарат Canon EOS RP.Но я поняла, что без помощи профессионалов я не смогу разобраться в настройках фотоаппарата. Всё очень сложно. Поэтому решила записаться на обучение.Первый онлайн курс, который мне попался в интернете - курс Фотограф от онлайн школы Нетология.Скажу честно, я никогда раньше не слышала про эту школу. Но на сайте было написано, у школы есть лицензия и после обучения я получу диплом о профессиональной переподготовке.Поэтому решила рискнуть.Обучение в Нетологии проходит в онлайн формате. Это видеолекции, живые вебинары с преподавателем, разборы самостоятельных работ.В целом мне понравился такой формат обучения. Это удобно. Ты получаешь обратную связь от преподавателя с разбором своих ошибок.Но давайте обо всем по порядку.Курс Фотограф состоит из восьми модулей . Получить доступ к следующему модулю Вы можете только после того, как выполните итоговое домашнее задание и получите зачёт.На мой взгляд это минус, потому что в начале обучения хочешь все и сразу!Итак, рассказываю по порядку:1. Первый модуль посвящён настройкам камеры. Занятия проводит очень талантливый Фотограф Екатерина Разина.Уже на первом вэбинаре Екатерина Разина по полочкам рассказала все, что необходимо знать про настройки камеры, экспозицию, глубину резкости.После каждого занятия мы получали самостоятельные задания.В конце каждого модуля у нас был воркшоп - разбор самостоятельных работ, где преподаватель разбирал наши фотографии, говорил какие есть ошибки и как их исправить. А после после воркшопа была модульная работа.2. Второй модуль был посвящён основным приёмам композиции. Преподаватель Олег Цербаев.Несмотря на то что в этом модуле было очень много важной и полезной информации для меня это была одна из самых неинтересных тем за весь период обучения.Почему? Потому что весть учебный материал был в формате видеолекций. Не было живого общения с преподавателем. А смотреть два часа видеолекцию по основам композиции просто скучно.Кроме этого мне три раза возвращали на доработку модульную работу по композиции. Обидно? Конечно! В какой -то момент я даже хотела написать заявление и отказаться от обучения.Но очень рада, что все-таки решила закончить обучение.Модульную работу по композиции в итоге приняли с четвёртого раза!3. Третий модуль был посвящён работе с постоянным светом. Преподаватель Фотограф Юрий Бессуднов.Здесь я узнала, что свет бывает мягкий и жёсткий, постоянный и импульсный. Вы это знаете? Я не знала.А ещё свет бывает рисующий, моделирующий, заполняющий, фоновый, контровой. Для фотографа это база. Это как таблица умножения. Для человека, который никогда раньше не занимался фотографией это было открытие!Кстати по третьему модулю модульную работу приняли с первого раза без замечаний. Приятно!4. Четвёртый модуль для меня был самым интересным. Он был посвящён работе с импульсным светом.Как я уже рассказала раньше свет бывает постоянный и импульсный.Импульсный свет - это вспышки, которые есть в фотостудии.Не умеешь работать с импульсным светом - не сможешь снимать в студии.В четвёртом модуле Юрий Бессуднов очень подробно рассказывает какие есть импульсные источники света, как с ними работать. Какие есть схемы света. Какую схему использовать в разных ситуациях. Например при съёмке бизнес портрета, бьюти съёмка, съёмка для каталога, творческие съёмки с дымом и с цветными фильтрамиПосле четвёртого модуля у нас было задание сделать съёмку в студии с разными схемами света.И ура! Тоже зачёт с первого раза!После четвёртого модуля у нас была онлайн практика в студии с преподавателем и профессиональной моделью.Для меня это был самый важный и очень интересный этап обучения. За три часа мы отработали разные схемы света и сделали очень много крутых фотографий! Это был очень полезный опыт! Обязательно рекомендую выбирать курс с оффлайн практикой.5. Пятый модуль был посвящён разным жанрам фотографии.Здесь я узнала, что кроме портрета и уличной фотографии есть много других жанров.Например репортаж, пейзажная фотография, свадебная фотография!Я первый раз попробовала снимать футбол и хоккей! И это невероятно круто! Бешеная скорость, эмоции, слезы радости! Забитый гол!И наоборот - съёмка пейзажа. Длинная выдержка. Красивое место. Возможно съёмка на закате или на рассвете. Совсем другие эмоции и ощущения.6. Шестой и седьмой модули были посвящены обработке фотографий в программах Lightroom, Capture One и Photoshop.Я никогда раньше не обрабатывала фотографии. Я даже не знала, что после съёмки можно поменять баланс белого или контраст. Максимум что я могла сделать это перевести фото из цветного в черно-белое.Поэтому эти модули были для меня тоже очень полезные и интересные.Но к этому моменту у меня уже было очень много съёмок.И я бы хотела научиться обрабатывать фотографии в самом начале обучения. Тогда можно было бы отдавать уже готовые фотографии. Так все это время я отдавала только исходники без ретуши и обработки.7. И последний восьмой модуль был посвящён продвижению фотографа. К сожалению здесь тоже были только видеолекции и не было живого общения с преподавателем. И не было обратной связи по оформлению сайта и портфолио.А обратная связь - это самое важное при обучении.8. И в конце нас ждал бонус - дипломный проект.У меня идея дипломного проекта заключалась в том, чтобы сделать костюмировнанную лавстори по мотивам Романа Джейн Остин ""Гордость и предубеждение"".Было несколько съёмочных дней. Для проведения съёмки мы взяли напрокат исторические костюмы, подготовили очень много реквизита: веер, зонтик, письмо, сургучная печать, чернильница.Все было продумано до мелочей.В итоге получилась очень красивая лавтрои по мотивам Романа Джейн Остин ""Гордость и предубеждение"".И самое главное - я защитила диплом!Если Вам нравится фотографировать и Вы хотите научиться делать это профессиональной, курс Фотограф от онлайн школы Нетолгия - это отличная возможность.Для меня это было не просто обучение, а путешествие в мир фотографии!Большое спасибо моим преподавателям Екатерине Разиной и Юрию Бессудному и координатору курса Екатерине Степановой за такое интересное обучение!",https://www.sravni.ru/shkola/netologiya/otzyvy/983633/
2,"Обучение проводится по большей части с помощью видеоматриалов. Периодически проходят он-лайн вебинары, где можно задать вопросы по интересующим темам. Материал подаётся в легкодоступной форме. Домашние задания с приемлемым дедлайном и соответствующей сложности. К недостаткам можно отнести отсутствие текстовой расшифровки видеоуроков, что может вызывать проблемы у тех, кто плохо воспринимает материал на слух. А, вобщем, учиться можно, всё очень неплохо.",https://www.sravni.ru/shkola/netologiya/otzyvy/983519/
3,"По глупости оставил номер телефона, ведь я реально хотел пройти курсы. Сначала заспамила сама Нетология. Через пару дней начали названивать другие ""школы"" (и подумать не мог что они сливают базу) и предлагать курсы. Очень пожалел что оставил свой номер телефона. Уже нет никакого желания работать, а тем более покупать курсы у них",https://yandex.ru/maps/org/netologiya/205031471256/
4,"Достоинства: + Диплом о переподготовке + Практика с обратной связью + Возможность задавать вопросы экспертам
 Недостатки: - Низкая интенсивность из-за постепенного открытия модуля - Модуль по прототипированию очень поверхностный
 Товар/услугу предоставили бесплатно или со скидкой, с условием написания отзыва.
 Всем привет!
 Эта история началась с того, что я захотела сменить профессию. Посоветовалась с молодым человеком и решила, что надо обучаться системному анализу.
 Курс выбирала по отзывам как на спец сайтах, так и в видеоблогах. Важны были срок и программа.
 Быстро поняла, что программа +- везде одинаковая, кроме того есть большое количество бесплатных ресурсов. Но Нетология дает системный подход и диплом о переподготовке. Последнее стало решающим фактором.
 Курс купила в рассрочку от Т-банка. По факту это оказался кредит, но т. к. я планирую его погасить досрочно переплата незначительная.
 
 Обучение на курсе начинается со знакомства с платформой и других оргвопросов.
 Далее начались уже профильные занятия. Несколько раз в неделю открываются новые блоки и ты сам выбираешь когда их изучать. Есть вебинары с экспертами, на которых можно задавать вопросы. Если пропустить вебинар, то потом он доступен в записи, смотри сколько угодно. Те же вебинары по SQL я пересматривала раз по 20 каждый.
 Кроме вебинаров есть лонгриды, тесты, квизы. Все это помогает запомнить материал.
 У каждого модуля есть практические занятия. Простые на «потыкать» в программу с самопроверкой или посложнее с обратной связью от экспертов. Даже маленькие недочеты эксперты подсветят, дадут допматериалы. Очень нравится ton-of-voice Нетологии: всегда поддерживающая и развивающая обратная связь. Я сдавала иногда работы с такими дурацкими ошибками, но никто не сказал ничего негативного из экспертов. Всегда поддерживали, подсказывали что исправить и возвращали задание на доработку.
 
 Лайфхак для студентов : Если вам вернули задание на доработку, не спешите ее начинать. Так как при нажатии кнопки «начать» начинает действовать таймер до срока сдачи. Зайдите в почту. Там вам придет весь комментарий эксперта по доработке. Так вы сможете не нарушить сроки по сдаче задания. Хотя сроки обычно не меньше недели, но моя прокрастинация меня подводит))
 
 В целом, сложилось впечатление, что курс отлично подходит для работающих людей. Т. к. модули открываются постепенно, дедлайны довольно большие.
 Я осваивала материалы довольно быстро, т. к. решила уволиться и проходить курс, поэтому использовала возможность ускорить обучение. Благодаря этому я начала курс в феврале, закончу в начале сентября. Итого 8 месяцев. Сам же курс рассчитан на 12 месяцев. Можно было бы и быстрее пройти, но помним про прокрастинацию.
 
 Дополнительно есть школа практики от Нетологии. Мне пока что предложили в рамках практики участие в трех конкурсах от реальных компаний. По результатам конкурса была возможность попасть на стажировку. Но результаты я пока что жду. Даже если я не попаду в стажеры, я получу обратную связь от экспертов Нетологии.
 
 Сейчас я заканчиваю предпоследний преддипломный модуль. Планировала написать отзыв после того, как устроюсь на работу, но мне куратор предложил написать его сейчас, в обмен на курс. Знания лишним не бывают, поэтому я это и сделала.
 
 Опасений в том, что получится устроиться у меня есть. Но я уверена в качестве своих знаний. Мой молодой человек, который слушал некоторые лекции со мной, сказал, что информация актуальная. Поводов не верить ему - нет, т. к. он действующий программист.
 
 Конечно, какую-то информацию я после лекций искала дополнительно: читала статьи, смотрела видео. Этого не избежать на любом курсе. Но я хотя бы понимала, что именно мне нужно найти!",https://otzovik.com/review_17576837.html
5,"Достоинства
 Я их просто не нашла
 
 Недостатки
 Очень разочарована обучение, материалы устаревшие и плохого качества, слабая техподдержка, сложно получить ответы на свои вопросы, самую важную информацию получила из студенческой группы. Записи плохого качества: картинка не четкая и звук слабый.",https://tutortop.ru/school-reviews/netologiya/#90021
6,"Если планируете пройти обучение в Нетологии, то не тратьте свое время и деньги, тем более если это будет рассрочка.
 Обучении состоит в основном из вебинаров (это не уроки, а так рассказы людей, который работаю в этой сфере не долго)
 Полезного мало, скудная информация, многое приходиться искать самостоятельно на просторах интернета.
 Рассказывают о практической работе, она состоит из заполнения Excel таблиц в гугле. В реальных кабинета продавца не ведётся работа.
 С трудоустройством не помогают, кидают ссылку на телеграмм куда все размещают и вакансии и свое резюме.
 Завышенная стоимость курса. Обучение не стоит своих денег.
 Единственное, что можно так это вернуть 13% за обучение, так как есть лицензия.
 В открытом доступае вы сможете найти больше информации, если очень хочется освоить эту профессию.",https://www.sravni.ru/shkola/netologiya/otzyvy/985065/
7,"Достоинства
 Проходила курс SQL и получение данных. Для меня, как для новичка в этой теме, курс был сложный, но полезный. Очень много новой информации, подробный разбор кейсов, преподаватель подробно отвечает на каждый вопрос, а дружелюбный куратор всегда поможет, успокоит и даст совет. Очень полезная штука записи вебинаров, благодарю, что продумана такая функция. Еще хочется сказать спасибо аспирантам, которые всегда на связи и своевременно помогают.
 
 Недостатки
 Хочется отметить неудобство расписаний занятий. Практика проходила по вечерам после работы, в одно и то же время, ориентировочно с 7 до 10 вечера. Очень непросто держать такой темп, но благо записи вебинаров выручали. Хотелось бы обратить внимание организаторов на этот момент при организации практических занятий.",https://www.sravni.ru/shkola/netologiya/otzyvy/986253/
8,"Не смогли помочь даже с организационными моментами подключения к обучению. Не дозвониться, не дописаться, ответ ждёшь по 2 суток, поддержки на первоначальной даже этапе 0 😱 😱 😱 😱 Треш какой -то",https://yandex.ru/maps/org/netologiya/205031471256/
9,"В июне 2025 г. я завершил обучение на курсе ""Бизнес-аналитик: расширенный курс"", которое длилось чуть больше года. В целом остался доволен, т. к. за это время успел узнать много нового, а также закрепить уже имеющиеся навыки. Материал подаётся легко (будет удобно и тем, кто изучает что-то с нуля), много практических заданий, тестов. На выполнение домашних работ всегда даётся адекватный срок, но если что-то не успеваешь - без проблем можно продлить дедлайн. Преподаватели и координаторы всегда идут навстречу, кроме того, они всегда на связи в мессенджерах. И как приятный бонус - за участие в некоторых активностях можно выбирать дополнительные курсы в подарок (список курсов на выбор очень большой). Из замечаний: Могу разве что порекомендовать ""Нетологии"" своевременно обновлять записи лекций от преподавателей. Так как некоторые лекции были записаны ещё в 2019-2020 гг. Часть информации уже может быть неактуальной, особенно это касается использования различных программ (Tableau, Power BI и т. д.)
 все темы упорядочены и разбиты на блоки, множество теории и практики
 их практически нет",https://okursah.ru/s/netologia/reviews
10,"Достоинства: Возможно какие-то есть
 Недостатки: Никакой гарантии о трудоустройстве
 Никакой гарантии о трудоустройстве и речи не может быть. Никакой обратной связи от ""Нетологии"" также нет. Вот уже как 2 года ищу вакансию на позицию ""Тестировщик"", QA (manual, auto). Либо отказывают, либо просто игнорируют. Знаний даже по ручному тестированию дают поверхностно. Приходится самообучаться. Знаний не достаточно даже для Интерна, не то чтобы для Джуна.",https://otzovik.com/review_17597753.html
